ID,REGION,DISTRICT,TYPE,LATITUDE,LONGITUDE
28,MTWARA,MASASI,DISTRICT,,
29,MTWARA,NANYUMBU,DISTRICT,,
30,MTWARA,NEWALA,DISTRICT,,
31,MTWARA,TANDAHIMBA,DISTRICT,,
32,MTWARA,MTWARA URBAN,DISTRICT,,
33,MTWARA,MTWARA RURAL,DISTRICT,,
267,PWANI,KIBAHA TOWN,DISTRICT,,
266,PWANI,KIBAHA RURAL,DISTRICT,,
