ID,NAME,TYPE,LATITUDE,LONGITUDE
2,TABORA,REGION,,
3,MOROGORO,REGION,,
4,RUKWA,REGION,,
5,LINDI,REGION,,
6,RUVUMA,REGION,,
7,MBEYA,REGION,,
8,IRINGA,REGION,,
9,SHINYANGA,REGION,,
10,SINGIDA,REGION,,
11,MANYARA,REGION,,
12,KIGOMA,REGION,,
13,DODOMA,REGION,,
14,KAGERA,REGION,,
15,ARUSHA,REGION,,
16,PWANI,REGION,,
17,MWANZA,REGION
18,MARA,REGION
19,TANGA,REGION
20,MTWARA,REGION
21,KILIMANJARO,REGION
22,DAR ES SALAAM,REGION
23,ZANZIBAR CENTRAL/SOUTH,REGION
24,PEMBA NORTH,REGION
25,ZANZIBAR NORTH,REGION
26,PEMBA SOUTH,REGION
27,ZANZIBAR WEST,REGION
